,Date,Daily_Visitors,t,t_square,log_visitors,dec,feb,jan,mar,nov,oct,visitors_First_Difference
152,2022-03-02,4231,153,23409,8.350193650720067,0,0,0,1,0,0,-456.0
153,2022-03-03,3543,154,23716,8.172729104865471,0,0,0,1,0,0,-688.0
154,2022-03-04,3182,155,24025,8.065265208897733,0,0,0,1,0,0,-361.0
155,2022-03-05,2450,156,24336,7.803843303538772,0,0,0,1,0,0,-732.0
156,2022-03-06,2368,157,24649,7.769800996003896,0,0,0,1,0,0,-82.0
157,2022-03-07,3166,158,24964,8.060224240440958,0,0,0,1,0,0,798.0
158,2022-03-08,3236,159,25281,8.082093278178382,0,0,0,1,0,0,70.0
159,2022-03-09,3072,160,25600,8.030084094267563,0,0,0,1,0,0,-164.0
160,2022-03-10,2953,161,25921,7.990576881743923,0,0,0,1,0,0,-119.0
161,2022-03-11,2640,162,26244,7.878534196140362,0,0,0,1,0,0,-313.0
162,2022-03-12,2212,163,26569,7.701652362642226,0,0,0,1,0,0,-428.0
163,2022-03-13,2120,164,26896,7.659171367666058,0,0,0,1,0,0,-92.0
164,2022-03-14,3530,165,27225,8.169053149927343,0,0,0,1,0,0,1410.0
165,2022-03-15,3524,166,27556,8.16735198705607,0,0,0,1,0,0,-6.0
166,2022-03-16,3320,167,27889,8.107720061910534,0,0,0,1,0,0,-204.0
167,2022-03-17,3399,168,28224,8.131236549696116,0,0,0,1,0,0,79.0
168,2022-03-18,2494,169,28561,7.821643126239982,0,0,0,1,0,0,-905.0
169,2022-03-19,2976,170,28900,7.998335395952982,0,0,0,1,0,0,482.0
170,2022-03-20,2534,171,29241,7.837554360881084,0,0,0,1,0,0,-442.0
171,2022-03-21,3641,172,29584,8.200013648175434,0,0,0,1,0,0,1107.0
172,2022-03-22,4031,173,29929,8.301769763117166,0,0,0,1,0,0,390.0
